trace_folder_path,episode_id,instruction
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_22,22,Search for virtual cooking classes on a culinary website.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_39,39,"download the paper: Language Models are Few-Shot Learners, and upload it to the google drive."
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_17,17,Open the news app and explore articles on sustainable living.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_27,27,Follow Yann LeCun on X.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_25,25,explore latest articles about China on BBC.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_29,29,Set the system to a dark theme
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_15,15,like the latest post of Openai on X.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_9,9,register an account on instagram.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_38,38,Trace Tokyo time on clock app.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_12,12,Open the music app and create a playlist for a road trip.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_4,4,Open the camera app and take a photo.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_3,3,Play my favorite song on Spotify
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_37,37,open the youtube and watch the short video.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_11,11,Find a crossword puzzle app and start a new puzzle.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_2,2,Set an event for a haircut on Friday.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_14,14,Open the e-book reader app and open a new novel.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_13,13,Enable navigation in the Maps app directed me to a supermarket near me.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_28,28,"like the song ""aruarian dance"" on Spotify."
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_18,18,Find a language learning app and practice pronunciation in French.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_20,20,Open the photo editing app and apply a vintage filter to a picture.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_8,8,update an app in google play store.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_19,19,Set a daily screen time limit for X and receive a notification when reached.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_23,23,Open the e-book reader app and explore recommended books in the mystery genre.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_21,21,Open the note-taking app and create a shopping list.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_24,24,Find a budgeting app and record a $1500 income to my account.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_30,30,open the youtube and subscribe to Hung-yi Lee
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_10,10,Search for online Python courses on a learning platform for a new skill.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_1,1,Set a timer for 20 minutes.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_7,7,Open the X app and check my notifications
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_33,33,write a message to 12345678
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_32,32,start screen recording
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_5,5,Set a daily reminder to drink water.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_36,36,download and open the paper: Attention is All You Need
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_34,34,check my private message on X.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_16,16,Open the podcast app and subscribe to a tech-related podcast.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_6,6,Open the Amazon app and track my recent orders.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_0,0,Open the calculator and perform 2^13
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_26,26,Open the music app and play the blue danube.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_35,35,check my subscription update on youtube.
/data/jxq/mobile-agent/aitw_replay_data/generated/trace_31,31,open the recording app and click the record button
